airline,origin,destination,departure_hour,distance,day,delay
Arik Air,BAK,YOLA,6,1260,15,1
Dana Air,LOS,ABV,12,524,20,1
Dana Air,LOS,BAK,6,1279,14,0
Arik Air,BAK,JOS,10,1344,10,1
Ibom Air,ABV,JOS,9,513,6,0
Azman Air,BAK,YOLA,7,1434,10,0
Max Air,PHC,ILR,9,302,23,0
Azman Air,LOS,PHC,21,638,20,0
Aero Contractors,BEN,ABV,10,1016,28,0
Max Air,PHC,ABV,19,946,9,0
Aero Contractors,LOS,YOLA,16,237,13,1
Overland Airways,JOS,LOK,10,1012,14,0
Arik Air,ILR,PHC,4,1216,1,0
Max Air,PHC,BEN,9,354,19,0
Max Air,ILR,JOS,19,1255,9,0
Overland Airways,ILR,YOLA,4,1457,5,0
Ibom Air,LOS,ABV,19,688,17,0
Dana Air,PHC,LOK,8,1240,16,0
Overland Airways,YOLA,JOS,2,439,12,1
United Nigeria,JOS,KAN,2,545,5,0
Dana Air,KAN,LOS,9,215,6,0
Arik Air,BEN,ABV,6,786,20,0
Dana Air,ILR,KAN,1,1149,23,0
Ibom Air,YOLA,LOK,7,459,11,0
Dana Air,LOK,ABV,11,560,19,0
Arik Air,LOK,YOLA,21,659,21,0
Ibom Air,KAN,ABV,8,1130,6,0
Azman Air,KAN,LOK,10,1308,23,1
Max Air,KAN,ABV,18,1286,10,1
Max Air,BEN,PHC,19,299,15,0
Aero Contractors,BEN,ILR,22,954,18,0
Azman Air,JOS,KAN,16,494,21,0
Azman Air,ILR,BEN,12,1385,29,0
Dana Air,ABV,ILR,0,1128,7,1
Arik Air,LOS,JOS,7,527,28,1
Green Africa,LOS,PHC,12,963,3,0
Ibom Air,BAK,LOK,2,441,16,0
Max Air,LOK,KAN,15,1314,13,0
Green Africa,ABV,BAK,6,658,4,0
Max Air,LOS,YOLA,21,866,19,0
Dana Air,BAK,ILR,20,419,4,1
Air Peace,LOK,LOS,13,463,25,1
Azman Air,ILR,JOS,15,320,27,1
Aero Contractors,YOLA,LOS,3,1269,12,0
Ibom Air,BAK,LOS,12,1338,31,1
United Nigeria,ABV,PHC,0,1391,24,1
Green Africa,BAK,BEN,4,634,27,1
Azman Air,BAK,ILR,17,1469,4,0
Max Air,ILR,BAK,11,683,29,1
Aero Contractors,LOK,ABV,10,479,24,1
Arik Air,ILR,LOS,6,913,28,0
Arik Air,ABV,JOS,13,267,24,0
Aero Contractors,KAN,BAK,23,942,26,0
Aero Contractors,ILR,BAK,2,1281,18,1
Green Africa,KAN,BAK,15,1487,22,1
Aero Contractors,PHC,ABV,6,1221,6,0
Dana Air,LOS,ILR,0,490,19,0
Max Air,LOK,ILR,5,368,29,0
United Nigeria,YOLA,ABV,5,755,5,0
Overland Airways,BAK,PHC,9,552,2,0
Aero Contractors,KAN,ABV,11,1463,11,1
Arik Air,YOLA,LOK,18,1289,24,1
Dana Air,KAN,YOLA,5,655,13,0
Azman Air,YOLA,PHC,13,1158,5,1
Overland Airways,BAK,PHC,2,1204,23,0
United Nigeria,JOS,ABV,9,676,8,0
Overland Airways,PHC,ABV,8,484,11,1
Aero Contractors,KAN,BEN,22,230,4,0
Green Africa,BAK,JOS,19,647,18,0
Arik Air,LOS,YOLA,18,413,30,0
Arik Air,KAN,ILR,21,1248,15,1
Azman Air,BAK,BEN,14,596,5,1
Max Air,ILR,KAN,18,1135,31,0
Air Peace,JOS,ILR,7,1167,12,0
Dana Air,KAN,BAK,21,1054,4,1
Arik Air,LOK,BEN,3,1102,4,0
Ibom Air,BAK,LOS,4,871,20,0
Arik Air,PHC,BEN,18,968,9,0
Overland Airways,ILR,BEN,13,822,9,1
Arik Air,BAK,BEN,17,758,14,1
Arik Air,KAN,ABV,18,747,27,0
Air Peace,ABV,YOLA,5,1122,26,1
Air Peace,BAK,BEN,4,1421,24,1
United Nigeria,BEN,ABV,10,753,27,0
Max Air,ABV,BAK,23,678,8,1
Ibom Air,BAK,JOS,4,1043,23,0
Dana Air,LOS,PHC,10,309,11,0
Air Peace,YOLA,ILR,12,596,27,0
United Nigeria,ABV,LOK,17,988,17,0
Max Air,LOK,JOS,9,620,17,0
Green Africa,ILR,LOK,15,1121,19,0
Max Air,PHC,LOS,21,310,13,0
Overland Airways,YOLA,LOS,13,408,19,0
Arik Air,ILR,BEN,22,1401,26,1
United Nigeria,ABV,JOS,14,1130,17,0
Overland Airways,LOK,BAK,2,624,24,0
Ibom Air,BEN,PHC,2,527,20,0
Green Africa,BEN,JOS,11,210,12,0
Air Peace,LOK,PHC,22,1475,20,1
United Nigeria,ILR,KAN,14,1055,14,0
United Nigeria,KAN,BAK,10,1458,22,1
Arik Air,ILR,LOK,9,453,9,1
Aero Contractors,BAK,PHC,19,328,25,0
United Nigeria,ILR,KAN,14,299,12,1
Dana Air,KAN,JOS,17,489,24,1
Green Africa,PHC,KAN,13,1449,31,1
Green Africa,ABV,ILR,5,1348,17,0
Dana Air,ILR,KAN,13,845,16,0
Azman Air,ABV,KAN,15,864,12,1
Dana Air,YOLA,BEN,1,897,10,0
Dana Air,BEN,LOS,18,382,26,1
Green Africa,BEN,LOK,4,550,2,0
Max Air,KAN,ILR,10,907,3,1
Green Africa,YOLA,ILR,10,877,27,1
Aero Contractors,BEN,LOS,20,1001,5,1
Arik Air,KAN,YOLA,18,539,16,0
Overland Airways,ILR,PHC,17,1364,21,1
Max Air,YOLA,KAN,7,310,13,0
Air Peace,BAK,JOS,22,460,26,0
Overland Airways,BAK,KAN,11,1411,24,1
Arik Air,BAK,JOS,8,570,18,1
Aero Contractors,PHC,KAN,2,1496,2,1
Aero Contractors,BAK,ILR,5,803,24,0
Azman Air,BEN,BAK,23,1270,18,1
Dana Air,BAK,ABV,0,855,28,1
Max Air,YOLA,LOK,16,348,5,0
Azman Air,JOS,BAK,2,549,3,0
Aero Contractors,ILR,LOK,17,522,5,0
Arik Air,ABV,LOS,1,1343,8,1
Air Peace,KAN,JOS,3,1204,8,1
Arik Air,JOS,BAK,0,597,22,0
Ibom Air,JOS,BAK,9,845,25,1
Ibom Air,PHC,LOK,4,1420,7,0
Max Air,KAN,BAK,4,612,2,0
Aero Contractors,PHC,JOS,8,236,1,0
Aero Contractors,BAK,LOS,13,386,24,1
Dana Air,ABV,PHC,20,619,1,1
Dana Air,KAN,ABV,12,924,8,0
Dana Air,YOLA,LOS,12,1333,28,0
United Nigeria,ABV,BAK,16,1301,23,1
Overland Airways,ILR,JOS,19,1009,5,1
Arik Air,LOS,YOLA,7,529,29,0
Overland Airways,ILR,BAK,2,1348,14,0
Green Africa,LOS,ILR,16,1157,8,0
Arik Air,LOK,ILR,11,519,20,0
Green Africa,LOK,ABV,13,1025,18,0
United Nigeria,PHC,ILR,10,713,23,0
Overland Airways,PHC,ABV,15,533,29,0
Green Africa,LOS,PHC,3,1294,7,0
Dana Air,KAN,YOLA,17,664,24,1
Dana Air,BAK,BEN,10,207,25,0
Aero Contractors,JOS,ABV,15,363,14,0
Air Peace,PHC,KAN,15,980,6,0
Air Peace,LOK,PHC,2,557,3,0
Air Peace,LOK,BEN,22,280,21,0
United Nigeria,ILR,YOLA,23,973,14,1
Dana Air,YOLA,LOK,8,1498,14,1
Aero Contractors,LOS,BAK,7,1120,3,1
Arik Air,LOS,ILR,16,1121,9,1
Green Africa,PHC,KAN,10,1270,21,0
Arik Air,BEN,KAN,3,1024,7,0
Ibom Air,JOS,LOK,3,1217,26,0
Green Africa,ILR,BAK,4,1302,7,1
Overland Airways,LOK,BAK,7,879,7,0
Max Air,PHC,ABV,16,1451,26,1
Dana Air,BEN,YOLA,5,637,4,0
Arik Air,JOS,BAK,9,1483,13,0
Dana Air,LOS,JOS,7,975,3,0
United Nigeria,JOS,BEN,14,875,20,0
Max Air,LOK,BEN,17,209,9,0
United Nigeria,LOS,JOS,22,357,21,0
United Nigeria,BAK,LOS,4,1067,30,0
United Nigeria,BAK,YOLA,17,983,22,1
Dana Air,YOLA,BAK,0,1381,20,0
United Nigeria,LOS,ILR,1,519,13,0
Overland Airways,ABV,YOLA,9,1425,1,0
Air Peace,BEN,LOK,5,320,29,1
Ibom Air,ABV,KAN,23,338,23,0
Ibom Air,YOLA,ILR,10,243,6,1
Dana Air,JOS,YOLA,17,1382,20,1
Green Africa,JOS,PHC,15,1015,26,1
Dana Air,JOS,KAN,7,297,29,0
Arik Air,YOLA,BAK,3,438,24,0
Arik Air,PHC,YOLA,10,674,28,0
Ibom Air,LOS,YOLA,9,723,30,1
United Nigeria,ABV,ILR,15,756,8,1
Dana Air,BEN,KAN,11,208,17,0
Aero Contractors,BAK,BEN,21,1433,31,0
Overland Airways,BAK,PHC,10,815,24,0
Arik Air,LOS,ABV,23,351,18,0
Ibom Air,LOS,JOS,15,609,25,0
Dana Air,ILR,BAK,23,209,4,0
Arik Air,ABV,ILR,2,1156,26,0
Green Africa,LOK,BAK,9,751,31,1
Ibom Air,BAK,ILR,20,755,30,0
Max Air,KAN,BEN,15,1079,12,0
Arik Air,LOK,ILR,6,467,22,0
Dana Air,JOS,KAN,14,1213,16,0
Air Peace,BEN,ABV,14,866,30,0
Aero Contractors,LOS,PHC,9,650,18,0
Azman Air,KAN,LOS,2,793,10,1
United Nigeria,BAK,BEN,5,1420,4,0
Azman Air,PHC,LOS,17,597,2,0
Dana Air,BAK,LOS,21,1120,28,0
Overland Airways,BEN,LOK,4,1275,25,0
Overland Airways,BAK,ABV,15,1282,15,0
Air Peace,BAK,JOS,12,493,9,0
Max Air,ABV,KAN,14,1151,5,0
Air Peace,LOK,ILR,22,1068,19,1
Azman Air,PHC,BAK,19,309,3,1
Air Peace,LOS,JOS,5,306,17,0
Overland Airways,ILR,PHC,14,1038,3,1
Arik Air,BAK,KAN,17,1318,28,0
Aero Contractors,YOLA,ILR,8,1184,4,0
United Nigeria,YOLA,ILR,19,1044,18,0
Max Air,KAN,BEN,3,278,24,0
Azman Air,JOS,ILR,15,1473,3,0
Max Air,BEN,YOLA,17,929,14,1
Azman Air,LOK,JOS,4,538,16,1
Dana Air,ILR,JOS,12,256,12,1
Air Peace,BEN,BAK,5,1119,11,0
Aero Contractors,BEN,LOK,21,346,2,0
Azman Air,YOLA,KAN,11,1240,13,0
Max Air,ABV,YOLA,14,567,30,1
Aero Contractors,PHC,ILR,8,908,26,1
Green Africa,LOS,LOK,6,1412,18,1
Green Africa,ABV,BEN,13,447,18,0
Arik Air,ABV,BEN,18,349,13,0
Dana Air,JOS,YOLA,15,1436,27,0
Max Air,ABV,LOS,22,416,1,1
Air Peace,YOLA,LOS,23,1229,15,1
Air Peace,BEN,ILR,21,869,17,0
Max Air,PHC,JOS,3,1060,6,0
United Nigeria,BEN,YOLA,11,503,5,1
Dana Air,BEN,LOS,17,602,1,0
Aero Contractors,BEN,ABV,7,1059,22,1
Azman Air,PHC,BAK,16,579,16,0
Azman Air,KAN,BAK,2,1452,24,0
Azman Air,LOK,PHC,3,893,29,1
Arik Air,BAK,ABV,15,249,3,0
Green Africa,KAN,YOLA,19,1323,3,0
Azman Air,KAN,LOK,1,542,29,1
United Nigeria,LOS,KAN,11,1081,27,1
United Nigeria,BAK,LOS,15,1089,12,1
Ibom Air,JOS,YOLA,9,1236,18,1
Arik Air,LOS,LOK,4,961,9,1
Overland Airways,JOS,KAN,11,1047,25,0
Ibom Air,LOK,YOLA,2,1123,23,1
Max Air,JOS,KAN,0,1329,17,0
Green Africa,BEN,BAK,1,388,20,0
United Nigeria,JOS,KAN,10,1273,28,1
Dana Air,PHC,BEN,6,609,29,0
Max Air,BAK,PHC,0,426,3,1
Overland Airways,LOK,BAK,12,412,18,0
Green Africa,KAN,ABV,12,1204,15,1
Air Peace,BEN,ILR,1,618,1,1
Azman Air,ILR,LOS,9,1307,3,1
Dana Air,LOK,BEN,22,1118,7,1
Arik Air,KAN,BEN,0,1420,10,0
Overland Airways,YOLA,JOS,6,976,9,0
Dana Air,BAK,YOLA,12,420,26,0
Azman Air,LOK,YOLA,23,375,9,1
Max Air,BAK,YOLA,1,783,8,0
Azman Air,ILR,KAN,19,734,6,1
Ibom Air,KAN,LOS,6,924,1,0
Azman Air,BAK,PHC,16,523,16,1
Ibom Air,PHC,BAK,21,284,24,0
Max Air,JOS,YOLA,4,1219,24,1
Aero Contractors,LOS,BEN,10,1086,30,0
Ibom Air,ILR,BAK,21,1491,28,0
Azman Air,ABV,BEN,10,827,10,0
Azman Air,JOS,ABV,10,1148,11,0
Arik Air,ILR,LOS,16,949,12,0
Air Peace,LOK,KAN,18,251,22,1
United Nigeria,PHC,YOLA,7,283,3,0
Overland Airways,YOLA,ILR,13,930,8,0
Ibom Air,ABV,BEN,9,940,23,1
Arik Air,PHC,JOS,6,1028,13,1
Max Air,BAK,JOS,1,624,24,0
Ibom Air,BAK,ILR,16,1244,19,1
United Nigeria,BEN,PHC,0,255,8,1
Max Air,BAK,PHC,12,1011,21,1
Dana Air,KAN,ILR,18,1006,23,1
Azman Air,ABV,LOK,13,1208,13,1
Ibom Air,JOS,LOS,19,1206,3,0
United Nigeria,BEN,LOK,13,1107,22,1
Aero Contractors,BEN,BAK,14,207,25,0
Ibom Air,BAK,YOLA,13,323,20,0
Green Africa,JOS,BEN,4,1189,25,0
Ibom Air,YOLA,PHC,15,1034,3,0
Azman Air,ABV,JOS,4,1316,22,1
Azman Air,ABV,BEN,21,965,12,0
Ibom Air,ILR,BAK,12,1303,5,1
Max Air,LOK,BAK,15,230,25,1
Green Africa,BAK,YOLA,14,577,6,0
Arik Air,ILR,ABV,4,529,18,1
Ibom Air,YOLA,JOS,20,481,20,0
Max Air,BEN,ILR,22,1235,14,0
Azman Air,LOS,PHC,5,838,5,0
Ibom Air,PHC,ABV,9,268,9,0
Green Africa,PHC,BAK,1,1040,29,0
Air Peace,PHC,JOS,12,222,17,1
Green Africa,PHC,BEN,16,536,12,1
Azman Air,LOK,JOS,0,626,25,1
Azman Air,BAK,JOS,3,1044,26,1
Dana Air,ABV,PHC,17,408,1,0
Azman Air,BAK,BEN,5,414,1,0
Arik Air,BAK,LOK,11,834,4,1
Overland Airways,ABV,BEN,23,622,29,0
Ibom Air,PHC,YOLA,19,272,22,0
Green Africa,BAK,ABV,12,1022,30,1
Overland Airways,LOK,JOS,1,985,18,1
Max Air,PHC,BEN,16,1137,17,1
Air Peace,LOK,YOLA,22,1497,12,1
Arik Air,ILR,LOS,9,1456,20,0
Overland Airways,KAN,ABV,21,488,22,1
Air Peace,LOK,KAN,4,754,12,0
Arik Air,JOS,YOLA,11,638,1,0
Dana Air,ILR,ABV,8,469,30,0
Ibom Air,BEN,BAK,10,273,7,0
Arik Air,PHC,LOS,9,445,14,0
Arik Air,BEN,KAN,0,609,26,0
Overland Airways,JOS,BAK,1,697,3,0
Azman Air,BEN,LOS,8,1211,5,1
Air Peace,KAN,ILR,22,410,31,0
Dana Air,JOS,ABV,17,991,6,0
Dana Air,YOLA,PHC,22,559,11,0
Max Air,BEN,ABV,13,781,19,1
Arik Air,BEN,KAN,3,1243,31,0
Azman Air,BAK,LOK,1,622,22,0
Overland Airways,ABV,LOK,11,320,27,0
Azman Air,KAN,ILR,19,372,2,1
Azman Air,JOS,PHC,4,233,25,0
Azman Air,JOS,LOK,3,1117,12,0
Air Peace,LOS,YOLA,14,270,25,0
Dana Air,ABV,BAK,2,744,23,0
Aero Contractors,BEN,LOK,21,973,14,0
Max Air,ILR,LOK,16,983,27,1
Azman Air,LOK,BEN,11,734,20,0
Ibom Air,BAK,ILR,20,213,16,0
Air Peace,BEN,LOK,7,470,26,0
Overland Airways,LOS,LOK,19,1276,17,1
Green Africa,YOLA,PHC,19,662,17,0
Aero Contractors,JOS,LOS,4,722,2,0
Ibom Air,LOK,BEN,20,969,10,1
Aero Contractors,ABV,JOS,5,1054,30,0
Azman Air,KAN,BAK,20,642,3,0
Ibom Air,ILR,PHC,7,450,30,0
Aero Contractors,BAK,ILR,21,359,2,1
Overland Airways,LOS,ABV,17,235,4,1
Dana Air,YOLA,PHC,3,1079,8,1
Arik Air,PHC,KAN,3,1421,19,0
Dana Air,ILR,BAK,4,1469,20,1
Green Africa,BEN,LOS,14,592,18,0
Air Peace,YOLA,KAN,5,1427,1,0
Arik Air,ILR,KAN,20,243,30,0
Max Air,ILR,ABV,13,1094,26,1
Ibom Air,KAN,LOK,15,405,2,0
Max Air,BEN,LOK,23,240,29,0
Max Air,BEN,KAN,3,787,10,0
Aero Contractors,KAN,BEN,10,913,19,1
Dana Air,ABV,YOLA,18,1097,7,0
Aero Contractors,YOLA,ILR,18,294,17,0
Arik Air,ILR,ABV,7,739,28,0
Arik Air,LOS,ILR,9,1367,29,1
Green Africa,LOK,BAK,4,258,31,1
Aero Contractors,YOLA,LOS,15,1053,30,0
United Nigeria,PHC,KAN,2,708,3,0
Dana Air,LOS,BEN,9,712,25,0
Arik Air,KAN,ILR,23,998,15,0
Green Africa,ILR,YOLA,12,1245,4,1
Aero Contractors,ABV,KAN,6,937,17,1
Dana Air,PHC,ABV,11,1427,11,1
Aero Contractors,ABV,BEN,22,898,30,1
Max Air,ABV,JOS,13,1086,6,0
Green Africa,BAK,JOS,9,670,17,0
Dana Air,JOS,YOLA,8,483,10,0
Azman Air,PHC,LOS,11,571,1,1
Ibom Air,LOK,JOS,23,1250,18,0
Ibom Air,JOS,KAN,2,1054,31,0
Dana Air,PHC,ABV,12,328,14,1
Aero Contractors,ABV,LOS,5,706,19,0
Green Africa,JOS,LOK,5,1318,29,1
Ibom Air,PHC,ABV,20,777,18,0
Green Africa,LOK,KAN,18,1400,24,1
Ibom Air,LOS,KAN,6,672,22,0
Max Air,YOLA,BAK,3,1207,31,0
Aero Contractors,ILR,LOS,21,1498,1,1
Max Air,PHC,ABV,4,867,22,1
Ibom Air,LOK,LOS,0,519,1,0
Azman Air,JOS,PHC,16,472,14,0
Max Air,PHC,LOS,8,1421,3,1
Azman Air,PHC,JOS,8,1302,12,0
Dana Air,PHC,BAK,23,240,17,0
Max Air,ILR,LOK,9,937,2,0
Air Peace,KAN,BAK,19,1468,29,0
Aero Contractors,YOLA,ABV,16,1246,6,0
Azman Air,JOS,YOLA,12,908,1,1
Azman Air,JOS,YOLA,3,435,23,1
Arik Air,BEN,LOK,22,325,27,1
United Nigeria,BEN,LOS,17,977,12,0
Max Air,YOLA,LOS,17,1035,4,0
Overland Airways,BAK,ABV,21,339,23,0
Azman Air,LOK,ABV,8,1078,16,0
Aero Contractors,BAK,BEN,2,593,20,0
Air Peace,LOK,LOS,6,1027,11,0
Azman Air,KAN,ABV,14,326,20,0
Ibom Air,LOK,PHC,8,1036,20,0
Ibom Air,BEN,KAN,3,724,26,0
United Nigeria,BEN,LOS,17,1451,28,1
Dana Air,ABV,BEN,16,345,10,1
Overland Airways,LOK,KAN,21,1386,8,1
Arik Air,YOLA,JOS,20,934,2,1
United Nigeria,LOS,PHC,5,927,8,0
Green Africa,KAN,BAK,6,368,26,1
Arik Air,PHC,LOS,9,1348,27,1
Max Air,PHC,BAK,9,499,1,0
Aero Contractors,LOK,BEN,5,1473,29,1
Green Africa,BAK,LOS,5,1137,23,0
Green Africa,KAN,BEN,18,721,7,0
United Nigeria,JOS,ILR,7,304,22,0
Dana Air,ILR,BEN,8,817,14,1
United Nigeria,PHC,ABV,0,1168,4,1
Max Air,BEN,ABV,15,705,21,0
Azman Air,KAN,BAK,5,501,17,0
Azman Air,BAK,ILR,22,852,2,0
Dana Air,YOLA,BEN,7,1453,26,1
Max Air,BAK,JOS,14,263,23,1
Dana Air,KAN,BAK,11,789,2,1
Air Peace,JOS,KAN,9,431,8,0
Azman Air,PHC,ABV,15,1406,7,0
Green Africa,BEN,KAN,14,518,26,0
Overland Airways,LOS,KAN,10,1028,8,0
Aero Contractors,YOLA,ILR,23,291,20,0
Max Air,BEN,BAK,6,1160,17,1
Arik Air,JOS,YOLA,7,263,23,0
Dana Air,ILR,BAK,10,1043,17,1
Aero Contractors,JOS,YOLA,8,418,31,0
Arik Air,JOS,BEN,6,903,7,0
Aero Contractors,PHC,YOLA,14,818,25,1
Overland Airways,KAN,LOS,14,446,5,0
Arik Air,KAN,BEN,15,1163,30,1
United Nigeria,BEN,YOLA,2,1213,15,1
Ibom Air,ILR,JOS,15,256,2,1
United Nigeria,ILR,KAN,14,1268,11,0
Azman Air,BAK,BEN,0,1309,30,0
Ibom Air,LOS,KAN,13,1261,17,1
United Nigeria,JOS,LOK,23,381,24,1
Ibom Air,LOS,BAK,21,363,13,0
Ibom Air,ABV,YOLA,10,956,4,0
Green Africa,LOK,KAN,2,325,24,0
Dana Air,JOS,YOLA,8,1430,18,0
Dana Air,LOS,KAN,5,466,29,0
Green Africa,PHC,JOS,22,553,14,1
Aero Contractors,LOK,PHC,15,1345,19,0
Air Peace,ILR,JOS,10,809,3,0
Aero Contractors,JOS,ABV,17,668,4,0
Arik Air,JOS,YOLA,16,1000,25,0
Arik Air,ILR,JOS,16,332,9,0
Ibom Air,BAK,LOS,2,1211,21,0
United Nigeria,PHC,YOLA,18,1048,23,1
United Nigeria,JOS,ILR,23,1219,14,1
Dana Air,LOS,BAK,22,517,29,0
Max Air,JOS,BAK,14,910,30,0
Aero Contractors,LOK,ABV,9,1348,25,1
Azman Air,JOS,LOS,7,650,17,0
Overland Airways,LOS,ABV,16,1431,29,1
United Nigeria,YOLA,BEN,3,832,2,0
Overland Airways,LOK,YOLA,7,341,14,0
Ibom Air,BEN,LOS,1,1203,22,0
Overland Airways,BEN,LOK,22,1058,16,0
Azman Air,LOK,KAN,7,768,19,0
Green Africa,PHC,ILR,6,503,16,1
Overland Airways,LOK,ILR,17,843,28,0
Air Peace,ABV,KAN,0,229,14,1
Ibom Air,KAN,ABV,11,1432,7,1
Aero Contractors,JOS,YOLA,3,1466,5,1
Green Africa,BAK,KAN,16,894,26,1
United Nigeria,YOLA,ILR,6,357,8,0
Arik Air,LOS,PHC,23,345,29,0
Aero Contractors,BAK,LOS,2,539,17,1
Arik Air,BEN,LOS,0,1065,30,0
Ibom Air,LOK,ILR,18,291,25,0
Green Africa,YOLA,ILR,1,528,14,0
Dana Air,ILR,BEN,5,371,27,0
United Nigeria,JOS,ABV,10,901,10,0
Air Peace,KAN,ILR,22,1254,22,0
Dana Air,BEN,JOS,20,820,12,1
Ibom Air,LOK,BAK,3,471,5,0
Aero Contractors,JOS,BAK,0,1318,8,1
Air Peace,BEN,YOLA,10,1188,28,0
Azman Air,ILR,LOK,15,276,12,0
Overland Airways,BAK,YOLA,5,350,4,0
Air Peace,KAN,BEN,10,341,28,1
Max Air,JOS,LOK,19,1153,25,1
Overland Airways,LOS,KAN,0,327,21,0
Arik Air,JOS,BAK,13,1059,17,0
United Nigeria,BEN,BAK,20,895,24,1
Arik Air,LOS,BAK,20,696,25,0
Air Peace,KAN,ILR,1,1009,21,0
Arik Air,ABV,BEN,5,330,29,0
Ibom Air,KAN,JOS,8,468,5,1
Azman Air,JOS,YOLA,13,817,6,0
Aero Contractors,BEN,KAN,21,1161,9,0
United Nigeria,LOS,PHC,7,1483,5,0
Arik Air,LOK,YOLA,2,1274,2,1
Air Peace,ILR,ABV,17,1008,11,0
Aero Contractors,PHC,LOK,19,1228,10,1
Dana Air,PHC,KAN,8,847,3,1
Arik Air,YOLA,BEN,8,937,9,1
Max Air,YOLA,LOS,12,1407,16,0
United Nigeria,YOLA,ABV,0,608,29,1
Arik Air,LOS,KAN,16,1314,29,0
Ibom Air,BEN,JOS,3,1019,31,0
Ibom Air,YOLA,BAK,3,1102,22,1
United Nigeria,JOS,KAN,15,388,21,1
Dana Air,LOS,PHC,15,1180,26,0
Ibom Air,BEN,PHC,14,1014,2,0
Max Air,PHC,BEN,5,582,25,0
Ibom Air,ABV,PHC,4,1049,10,1
Ibom Air,LOK,BEN,9,1356,14,1
Azman Air,BAK,LOK,6,625,5,0
Azman Air,LOK,JOS,6,449,22,1
Arik Air,ILR,JOS,9,1219,25,1
Ibom Air,BEN,PHC,14,1446,1,0
